Buzzsprout Episode ID,Ep,Guest Name,YouTube Video ID
18135232,1,Dr. Barry Chaiken,Lhtm0LffY84
18135260,2,Dr. Barry Chaiken,H2sY21MyKgQ
18181175,3,Ratnadeep Bhattacharjee,oy7Q_tHzAng
18216015,4,Larry Kuhn,HAlocvYL0do
18254252,5,Ritu Chakrawarty,fwVp0NsSFSI
18290640,6,Danette McGilvray,NGBbYZSdcLs
18329464,7,Susie Branagan,s4ghn6k-t-8
  18372783,8,Carol Velandia,ghk8jZeWw1k
  18401916,9,Keshavan Seshadri,UpJJejIHN-4
  18436527,10,Anitha Mareedu,FhmwMJsVPB8
  18464077,11,Amit Shivpuja,SY9xtWnOSOE
  18500676,12,Asha Mahesh,qYeC8dMRmJ4
  18545151,13,Aleida Lanza,8Yyji02GH7c
  18580403,14,Parth Gargish,mMtwcZBCzb8
  18621405,15,Dr. Mark Gendreau,iNkDlnwZcMc
  18658645,16,Guman Chauhan,gR6OXuIxIOY
  18694624,17,David Finkelshteyn,TvaEQ87vgpo
  18746141,18,Brian Sutherland,7lsO0GK-UK4
  18780186,19,Gary Cao,iKiG5L005Fg
  18839920,20,Dr. Natasha Dole,wizfkLwkIYw
  18866774,21,Amanda Roser,0QC5nLRY5fs
  18904643,22,MarKeisha Snaith,MhHS4drVihM
